rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,I_49,Q_49,I_50,Q_50,I_51,Q_51,I_52,Q_52,I_53,Q_53,I_54,Q_54,I_55,Q_55,I_56,Q_56,I_57,Q_57,I_58,Q_58,I_59,Q_59,I_60,Q_60,I_61,Q_61,I_62,Q_62,I_63,Q_63
-25,902081969,28,-64,1,0,-32,11,-33,12,-34,12,-35,12,-35,11,-35,10,-34,8,-33,7,-31,6,-29,6,-26,6,-23,6,-21,7,-19,8,-18,10,-18,11,-18,12,-18,12,-19,12,-19,11,-19,10,-19,8,-18,7,-18,5,-17,4,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-17,-1,-17,-2,-18,-3,-18,-5,-18,-6,-18,-7,-18,-7,-18,-6,-17,-5,-18,-4,-19,-2,-20,-1,-22,0,-25,1,-28,1,-30,1,-33,0,-34,-1,-35,-3,-35,-4,-34,-5,-33,-5,-32,-4,-31,-3,-31,0,-31,3
-24,902184526,28,-64,1,0,6,-26,6,-28,6,-29,7,-29,8,-29,8,-28,9,-27,9,-25,9,-23,8,-22,6,-20,5,-19,3,-18,2,-17,1,-17,0,-17,0,-18,0,-18,1,-18,1,-18,2,-18,3,-17,3,-16,4,-14,5,-13,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-50,976526363,112,1,23,0,-12,28,-10,26,-9,24,-7,22,-5,21,-4,21,-3,21,-2,22,-1,22,-1,23,-1,23,-1,22,-2,22,-2,21,-3,20,-3,20,-3,18,-3,17,-2,16,-2,15,-2,14,-2,14,-3,13,-3,13,-3,12,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-5,8,-4,8,-4,10,-3,12,-3,13,-3,16,-4,17,-6,19,-8,20,-11,21,-14,21,-15,20,-16,18,-15,16,-14,15,-12,16,-11,16,-8,17,-6,18,-5,20,-5,23,-6,26,-6,28,-8,30,-9,31,-10,32
-50,976527736,112,1,23,0,19,23,18,20,17,16,17,14,18,13,18,13,19,12,20,11,20,10,20,10,20,10,19,10,19,10,19,11,18,11,17,11,15,10,13,9,12,9,12,8,12,7,11,7,11,7,10,7,9,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,7,6,8,5,10,6,12,7,13,8,14,10,15,12,15,14,16,17,15,19,13,20,11,20,10,19,9,18,10,17,11,15,13,13,15,13,17,13,18,12,20,13,22,15,25,18,27,19,27,20
-50,976528689,112,1,23,0,27,-7,24,-6,22,-6,20,-7,19,-9,18,-10,17,-11,17,-12,17,-13,17,-13,17,-12,16,-12,17,-11,17,-10,17,-10,17,-10,15,-8,14,-7,13,-7,13,-7,12,-7,11,-7,11,-6,11,-6,11,-5,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,8,-2,8,-3,9,-4,10,-5,11,-6,13,-7,15,-7,17,-6,19,-5,21,-4,23,-2,23,-1,22,0,20,1,19,0,18,-1,17,-2,17,-4,17,-6,18,-8,20,-10,22,-11,24,-12,26,-12,28,-11,29,-10
-25,976529478,28,-64,1,0,-16,-39,-14,-37,-13,-33,-13,-29,-14,-26,-16,-24,-18,-22,-20,-21,-22,-21,-23,-22,-23,-23,-23,-24,-22,-25,-21,-25,-18,-25,-16,-24,-14,-23,-12,-21,-11,-19,-10,-17,-10,-15,-10,-14,-11,-13,-11,-13,-11,-13,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-12,-5,-12,-5,-13,-7,-13,-8,-14,-9,-16,-10,-18,-10,-20,-10,-23,-10,-25,-8,-27,-7,-28,-5,-28,-5,-27,-4,-26,-5,-25,-7,-24,-9,-23,-12,-23,-15,-24,-18,-26,-20,-28,-22,-31,-23,-35,-23,-38,-23,-40
-51,976584808,112,1,23,0,-32,1,-30,0,-29,0,-27,1,-25,2,-24,3,-24,4,-24,4,-24,4,-24,5,-22,5,-21,5,-21,5,-21,5,-21,5,-20,5,-20,5,-19,5,-18,4,-18,3,-18,3,-17,2,-16,1,-15,0,-15,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-12,-2,-11,-2,-11,-1,-12,0,-13,1,-14,2,-16,2,-18,2,-21,2,-23,0,-25,-2,-26,-4,-25,-5,-24,-6,-23,-7,-22,-7,-21,-6,-20,-4,-20,-2,-21,0,-22,2,-24,3,-26,4,-29,5,-31,4,-32,4
-51,976587296,112,1,23,0,-16,17,-15,17,-14,16,-13,15,-12,14,-11,14,-10,14,-10,14,-9,13,-9,13,-9,13,-8,13,-8,12,-8,13,-8,13,-8,13,-8,12,-7,11,-7,11,-8,10,-8,10,-8,9,-8,8,-8,7,-8,6,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-7,5,-6,5,-6,5,-6,6,-5,7,-5,8,-6,10,-7,11,-8,12,-10,12,-12,13,-14,12,-15,11,-15,10,-15,9,-14,8,-13,8,-11,8,-10,9,-10,11,-9,12,-10,14,-10,16,-12,17,-13,18,-13,19
-51,976588150,112,1,23,0,-29,9,-28,8,-26,8,-24,8,-23,9,-22,9,-21,9,-20,9,-20,10,-20,10,-19,10,-17,11,-17,11,-17,11,-17,10,-17,10,-17,10,-16,9,-16,9,-16,8,-15,7,-15,7,-15,6,-14,4,-13,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-11,0,-11,0,-11,1,-11,2,-11,3,-12,5,-14,6,-16,6,-19,6,-21,5,-24,4,-25,2,-25,0,-24,-1,-23,-2,-22,-1,-21,-1,-20,0,-19,2,-19,5,-19,7,-21,8,-23,10,-26,11,-27,11,-29,11
-24,976630203,28,-64,1,0,27,1,28,1,29,2,29,3,28,4,27,5,25,5,23,5,21,4,19,3,17,2,16,0,16,-2,16,-3,16,-5,17,-6,17,-6,18,-5,18,-4,18,-3,17,-2,16,-1,15,0,13,1,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,7,9,8,9,9,8,10,7,10,7,10,7,10,7,9,8,8,9,8,11,7,13,7,15,8,17,9,18,10,19,11,20,13,20,14,20,15,19,15,18,15,18,14,18,12,18,10,19,7,21,6
