rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,I_49,Q_49,I_50,Q_50,I_51,Q_51,I_52,Q_52,I_53,Q_53,I_54,Q_54,I_55,Q_55,I_56,Q_56,I_57,Q_57,I_58,Q_58,I_59,Q_59,I_60,Q_60,I_61,Q_61,I_62,Q_62,I_63,Q_63
-64,418089387,-4,-64,15,0,-13,-31,-13,-32,-13,-32,-12,-32,-11,-30,-10,-29,-10,-28,-11,-26,-11,-26,-12,-27,-12,-26,-12,-25,-12,-23,-11,-22,-11,-21,-10,-21,-8,-20,-8,-20,-9,-19,-8,-17,-6,-16,-5,-16,-3,-16,-3,-16,-3,-17,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-4,-9,-5,-10,-5,-10,-5,-11,-5,-12,-5,-13,-5,-14,-5,-15,-5,-16,-6,-16,-6,-17,-6,-19,-6,-20,-6,-20,-6,-20,-7,-21,-10,-22,-10,-24,-7,-25,-8,-26,-11,-27,-12,-28,-12,-30,-13,-30,-13,-30,-12,-31
-65,418129336,82,32,5,0,19,35,16,32,11,27,11,24,11,25,13,24,14,22,15,25,16,27,14,25,9,26,9,25,11,23,10,23,8,24,8,26,7,25,6,21,5,19,3,18,2,18,3,18,1,17,0,16,1,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,8,3,10,5,9,5,9,5,10,6,11,8,10,7,12,7,14,9,14,10,14,8,15,11,15,15,12,17,13,16,17,16,21,16,22,15,22,19,19,19,17,12,15,13,15,19,18,17,23,17
-22,418142965,82,32,5,0,-28,20,-27,21,-27,21,-27,20,-27,20,-26,19,-26,18,-25,18,-24,17,-23,17,-22,16,-21,15,-20,15,-19,15,-18,14,-18,14,-17,14,-17,13,-17,13,-16,12,-16,11,-15,10,-15,9,-15,8,-15,7,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-12,10,-13,10,-15,9,-16,9,-17,8,-18,8,-18,7,-18,7,-19,7,-19,8,-19,9,-19,10,-20,11,-21,12,-22,13,-24,14,-26,15,-27,15,-28,15,-29,14,-30,14,-30,14,-30,15,-30,15,-30,16,-30,17
-58,418427204,102,96,6,0,2,-23,6,-22,8,-22,6,-20,3,-19,4,-17,5,-17,4,-18,6,-17,7,-16,6,-16,5,-16,3,-18,3,-17,4,-16,5,-15,5,-13,6,-13,7,-12,8,-11,8,-12,8,-12,8,-11,8,-10,9,-9,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,11,-17,11,-17,11,-17,12,-18,12,-18,12,-19,13,-19,13,-19,13,-20,13,-20,15,-21,16,-21,14,-22,14,-23,15,-23,13,-23,11,-23,12,-24,12,-24,9,-24,8,-24,9,-25,10,-26,8,-27,6,-26,8,-22
-58,418440338,102,96,6,0,8,-30,7,-29,7,-28,6,-25,4,-23,2,-22,1,-22,5,-21,6,-20,4,-19,4,-19,5,-18,6,-16,8,-14,8,-15,7,-16,9,-17,10,-16,8,-13,7,-10,6,-10,8,-9,12,-8,13,-8,13,-8,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,9,-20,10,-20,11,-21,11,-21,12,-22,12,-22,11,-23,11,-23,12,-24,13,-25,14,-26,14,-25,13,-24,12,-24,13,-24,13,-25,13,-26,13,-26,12,-26,11,-27,10,-27,9,-27,8,-27,8,-28,8,-28,9,-28
-64,420056056,98,32,6,0,-23,25,-23,25,-23,24,-23,22,-21,23,-20,23,-20,21,-18,21,-18,20,-20,18,-19,19,-18,19,-18,18,-17,18,-15,17,-15,15,-15,14,-16,14,-16,15,-16,13,-16,11,-15,11,-13,9,-13,7,-13,7,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-6,8,-6,8,-7,8,-8,8,-8,9,-9,11,-11,12,-12,11,-12,11,-12,12,-12,13,-12,13,-14,11,-15,13,-15,16,-16,17,-16,16,-16,17,-17,19,-19,19,-19,20,-19,21,-21,21,-22,22,-22,22,-23,24
-62,421513341,116,66,39,0,17,12,16,13,16,15,13,12,11,9,9,8,8,9,10,12,12,13,9,11,7,10,7,11,8,11,10,10,10,12,9,14,9,15,7,15,6,15,6,15,7,16,8,17,8,18,7,18,6,18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,17,15,18,16,19,16,19,17,19,18,18,19,18,19,19,19,19,19,19,20,18,19,17,19,18,19,19,18,19,20,19,22,19,23,18,22,17,22,15,22,14,22,16,22,18,21,15,19,13,23,14
-62,421522156,124,-63,23,0,-3,18,-3,15,-4,14,-5,15,-4,15,-3,14,-2,14,-3,12,-5,12,-5,11,-3,11,-3,11,-4,11,-4,14,-5,16,-8,15,-8,15,-9,13,-12,9,-13,10,-12,14,-10,14,-7,15,-11,16,-15,15,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-8,19,-9,19,-9,20,-9,20,-8,20,-8,21,-8,22,-8,23,-8,23,-8,25,-8,26,-8,25,-9,23,-8,22,-5,22,-3,23,-3,24,-3,24,-2,25,-2,25,-3,25,-4,23,-3,23,0,23,2,23,2,21
-65,423104146,-4,-64,15,0,-12,29,-13,29,-12,29,-11,29,-10,27,-10,27,-9,26,-9,25,-9,24,-9,24,-9,26,-9,27,-8,26,-8,23,-8,22,-8,21,-7,20,-7,19,-8,19,-8,17,-6,16,-7,16,-8,14,-7,12,-8,11,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-2,9,-3,9,-3,10,-3,11,-4,11,-5,12,-5,13,-5,14,-6,15,-7,16,-7,17,-8,17,-8,18,-8,18,-8,19,-8,20,-9,21,-10,22,-10,23,-10,23,-11,24,-10,26,-10,26,-11,26,-12,28,-12,29
-47,424268596,112,1,23,0,20,-15,17,-16,14,-18,12,-19,11,-21,11,-23,13,-23,14,-23,15,-23,14,-22,14,-20,13,-19,12,-18,11,-18,10,-17,7,-17,5,-17,4,-17,3,-18,4,-19,4,-20,6,-20,8,-19,9,-17,10,-16,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,-2,6,-4,8,-5,9,-7,11,-7,14,-6,16,-5,17,-4,19,-2,20,-1,19,0,17,0,15,0,13,-2,13,-4,13,-6,13,-9,13,-12,14,-15,16,-16,19,-16,21,-16,23,-16,25,-15,25,-14
