rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,val_70
-24,1326630251,28,-64,1,0,-34,-5,-33,-6,-31,-6,-30,-7,-28,-7,-26,-6,-25,-5,-24,-3,-23,-2,-22,-1,-22,0,-22,0,-23,1,-23,1,-23,1,-22,0,-22,-1,-21,-2,-20,-3,-18,-4,-17,-4,-15,-4,-14,-4,-14,-4,-13,-4,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,1657577620,82,32,5,0,-32,-9,-30,-10,-28,-10,-25,-9,-23,-8,-21,-6,-20,-5,-20,-3,-20,-1,-20,1,-20,2,-21,2,-22,2,-23,2,-23,1,-22,0,-21,-2,-20,-3,-18,-4,-17,-4,-15,-4,-14,-3,-13,-2,-12,-2,-12,-2,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-10,-6,-10,-6,-9,-6,-10,-5,-11,-5,-12,-5,-13,-5,-15,-5,-17,-6,-18,-7,-19,-8,-20,-10,-20,-12,-19,-13,-19,-13,-18,-13,-18,-13,-17,-11,-17,-10,-18,-8,-19,-7,-21,-5,-24,-4,-26,-4,-29,-4,-31,-5
-71,1657583056,82,32,5,0,-27,-16,-25,-17,-24,-16,-23,-15,-24,-15,-24,-13,-23,-11,-22,-11,-22,-11,-22,-11,-21,-11,-21,-10,-22,-11,-21,-10,-20,-9,-19,-9,-17,-9,-16,-8,-16,-9,-16,-10,-15,-8,-14,-8,-13,-9,-13,-10,-14,-9,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-12,-3,-13,-3,-14,-5,-14,-5,-15,-5,-16,-6,-15,-6,-16,-7,-17,-9,-17,-8,-16,-7,-16,-9,-18,-10,-19,-11,-19,-11,-20,-13,-19,-16,-20,-15,-23,-14,-24,-14,-25,-15,-26,-16,-26,-15,-25,-15,-25,-16,-25,-15
-25,1657597711,28,-64,1,0,18,15,19,14,20,13,21,13,22,13,22,13,22,14,21,14,20,14,19,14,17,14,16,13,15,12,14,10,14,8,14,7,14,6,14,6,14,5,14,6,14,6,14,7,13,8,12,8,11,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,8,8,9,8,10,8,11,7,13,7,14,6,14,6,15,5,14,5,14,6,14,7,13,8,13,9,13,11,14,13,14,14,16,15,17,16,19,16,21,16,22,16,22,15,23,14,22,14,22,15,21
-25,1658095269,28,-64,1,0,10,18,11,17,13,16,14,16,15,17,15,17,15,18,14,18,14,18,13,17,11,17,10,16,10,15,9,13,9,12,9,11,9,9,10,9,10,8,10,8,10,9,10,9,9,10,8,10,7,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,4,10,4,11,3,12,2,13,2,14,1,15,0,15,0,15,0,14,1,14,1,14,2,14,4,14,5,15,6,16,7,18,8,19,8,21,8,22,8,24,7,24,7,24,6,24,6,24,6,23
-53,1659198183,112,1,23,0,10,35,9,30,8,23,6,17,3,11,-1,6,-5,1,-10,-3,-14,-5,-19,-7,-22,-8,-25,-8,-27,-7,-29,-6,-29,-5,-27,-4,-24,-3,-21,-2,-17,-1,-12,-1,-8,-1,-3,-1,1,-2,4,-2,6,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-7,-3,-5,-4,-1,-6,3,-8,7,-10,11,-12,14,-14,17,-16,20,-17,22,-19,24,-20,23,-20,22,-19,20,-17,17,-15,14,-12,11,-8,8,-2,6,3,4,10,3,16,3,22,4,28,5,33,7,37,8,39
-53,1659204824,112,1,23,0,-38,-3,-33,-1,-27,0,-20,0,-13,0,-6,-1,0,-4,5,-6,10,-9,15,-12,17,-15,18,-18,19,-20,20,-21,19,-22,17,-21,15,-19,12,-17,10,-14,7,-10,4,-7,1,-4,-1,0,-3,3,-4,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-7,3,-4,5,-1,6,4,8,8,9,12,11,16,12,19,14,22,15,24,16,26,16,26,15,24,14,22,11,19,9,15,5,12,0,8,-5,4,-11,0,-17,-2,-23,-4,-29,-5,-35,-6,-39,-6,-42,-5
-53,1659206678,112,1,23,0,-19,-29,-17,-25,-14,-20,-11,-15,-7,-10,-3,-5,2,-2,7,1,11,3,16,5,19,6,21,6,24,6,25,5,26,4,24,4,22,3,18,1,15,1,11,0,7,0,3,0,-1,-1,-5,-1,-7,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,5,-3,4,-1,2,3,0,6,-2,10,-4,13,-5,17,-7,20,-8,22,-9,24,-10,26,-10,26,-9,24,-9,21,-8,18,-7,15,-6,10,-6,4,-5,-2,-6,-7,-7,-13,-9,-19,-11,-24,-14,-29,-16,-32,-18,-33
-53,1659264600,112,1,23,0,-32,-9,-26,-7,-21,-4,-15,0,-9,3,-4,7,1,10,5,13,8,16,11,19,13,20,15,22,15,23,15,24,15,24,13,23,12,20,10,17,8,13,7,10,6,6,6,2,6,-1,6,-4,6,-6,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,0,-5,3,-9,6,-12,9,-15,12,-16,16,-17,18,-17,21,-17,23,-16,24,-15,23,-13,20,-10,17,-8,12,-6,6,-4,0,-3,-6,-2,-12,-2,-18,-3,-24,-3,-30,-4,-34,-5,-38,-6,-41,-8,-42,-9
-53,1659266637,112,1,23,0,30,4,25,2,19,0,13,-3,7,-5,1,-8,-4,-10,-8,-12,-13,-14,-16,-16,-18,-17,-20,-18,-21,-19,-20,-19,-20,-19,-18,-18,-16,-16,-14,-14,-12,-11,-10,-8,-9,-5,-7,-1,-6,2,-5,5,-5,7,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,4,-3,8,-6,11,-9,14,-13,15,-16,16,-19,16,-21,16,-23,15,-24,14,-23,12,-21,9,-16,6,-11,4,-7,3,-2,1,4,0,11,-1,17,-1,23,0,28,0,33,0,36,1,39,2,40,3
-53,1659270470,112,1,23,0,3,26,3,21,4,15,4,9,5,4,6,-2,7,-7,8,-12,9,-16,9,-19,9,-21,9,-22,9,-23,9,-23,9,-23,9,-21,8,-19,6,-16,4,-13,2,-11,0,-8,-2,-6,-4,-4,-6,-2,-8,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,1,-5,0,-9,-2,-12,-4,-15,-7,-17,-9,-18,-12,-18,-14,-18,-16,-18,-18,-16,-19,-14,-18,-11,-16,-8,-13,-5,-10,-4,-5,-2,0,0,5,2,10,4,15,5,20,5,25,6,29,6,32,6,34,5,35
