rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,I_49,Q_49,I_50,Q_50,I_51,Q_51,I_52,Q_52,I_53,Q_53,I_54,Q_54,I_55,Q_55,I_56,Q_56,I_57,Q_57,I_58,Q_58,I_59,Q_59,I_60,Q_60,I_61,Q_61,I_62,Q_62,I_63,Q_63
-53,1259668724,34,32,2,0,-3,34,-3,29,-2,22,-1,16,1,10,3,5,6,0,9,-5,12,-9,15,-13,18,-15,20,-16,21,-16,23,-16,23,-14,22,-12,20,-9,17,-7,13,-5,10,-4,6,-3,2,-3,-1,-3,-4,-4,-6,-5,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-3,-3,-6,-4,-10,-4,-13,-5,-16,-6,-19,-7,-22,-9,-24,-10,-25,-12,-26,-14,-26,-15,-24,-15,-21,-14,-18,-12,-15,-9,-12,-5,-9,0,-6,5,-4,10,-2,15,0,21,1,26,1,31,1,36,0,39,0,40
-53,1259669485,34,32,2,0,-6,-34,-5,-29,-5,-23,-5,-17,-5,-10,-6,-4,-7,1,-9,6,-11,11,-13,15,-14,18,-16,19,-18,20,-19,20,-20,19,-20,16,
-25,1271850197,28,-64,1,0,22,22,21,22,19,22,17,21,16,19,15,17,15,15,15,13,16,12,16,10,17,10,17,10,18,10,18,10,18,11,17,12,16,12,15,12,13,12,11,11,10,10,9,10,8,9,8,8,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,10,6,10,5,10,5,9,6,9,7,9,8,10,10,11,11,12,12,14,12,15,12,17,12,19,11,20,10,20,10,20,10,20,10,19,10,18,11,17,12,16,14,16,17,16,19,17,21,18,23,19
-26,1271950459,28,-64,1,0,25,18,24,19,22,18,21,18,19,17,18,15,17,13,17,11,17,10,17,8,18,8,18,8,19,8,19,8,19,9,18,10,17,10,15,10,14,10,12,10,11,10,10,9,9,8,9,8,8,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,7,9,7,8,8,8,8,9,8,9,7,11,8,12,8,13,9,15,10,16,12,16,13,16,15,15,16,15,17,14,17,14,17,14,16,14,16,15,15,16,14,17,13,19,13,22,13,24,14,25,15
-25,1272051003,28,-64,1,0,-24,-11,-24,-9,-25,-8,-25,-7,-26,-7,-26,-7,-26,-7,-26,-7,-25,-7,-24,-7,-23,-8,-22,-8,-20,-7,-19,-7,-18,-6,-17,-5,-17,-4,-17,-4,-16,-3,-16,-4,-16,-4,-15,-4,-15,-5,-14,-6,-14,-6,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-12,-4,-13,-5,-13,-6,-14,-7,-14,-9,-15,-10,-15,-11,-14,-12,-14,-12,-14,-12,-14,-12,-14,-11,-15,-11,-16,-10,-17,-10,-19,-10,-21,-10,-22,-11,-23,-12,-25,-13,-25,-14,-25,-15,-25,-15,-25,-16,-25,-16,-25,-15
-25,1272153960,28,-64,1,0,39,12,38,13,36,13,33,13,31,13,28,12,26,10,25,7,24,5,24,3,24,2,24,1,25,1,26,1,26,1,26,2,25,3,24,5,22,5,20,6,18,6,16,6,15,5,14,4,13,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,14,7,13,7,12,8,12,7,13,7,14,7,15,6,17,6,19,7,21,7,23,8,24,10,25,12,25,14,25,15,25,16,24,16,24,16,23,15,24,14,24,12,26,10,28,9,31,7,34,7,37,7
-25,1272260231,28,-64,1,0,-25,5,-24,7,-23,9,-23,10,-23,11,-23,11,-24,11,-24,11,-24,11,-24,10,-23,9,-22,8,-21,7,-19,6,-18,6,-16,6,-15,7,-15,7,-14,7,-14,7,-14,7,-14,7,-14,6,-14,5,-14,4,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-11,4,-12,4,-14,3,-15,3,-16,2,-18,1,-19,0,-19,-1,-19,-2,-19,-2,-19,-2,-18,-1,-18,0,-18,1,-19,2,-20,3,-22,5,-23,5,-25,6,-27,6,-28,5,-29,5,-30,4,-30,4,-30,3,-30,3
-25,1272361283,28,-64,1,0,-12,23,-10,22,-8,23,-7,23,-6,24,-5,24,-5,25,-6,25,-7,24,-7,24,-7,23,-8,22,-8,20,-7,19,-7,18,-6,17,-5,16,-4,15,-4,15,-3,15,-3,15,-4,15,-4,14,-5,14,-6,13,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,-4,10,-5,11,-6,12,-7,13,-8,13,-9,14,-11,14,-12,14,-13,14,-13,13,-13,13,-13,13,-12,13,-11,14,-11,15,-10,17,-10,18,-10,20,-11,22,-12,24,-13,25,-14,26,-15,26,-16,26,-16,26,-17,25
-25,1272463659,28,-64,1,0,13,22,13,20,15,19,16,18,17,17,18,17,18,18,18,18,17,18,17,18,16,18,14,18,13,17,12,16,12,15,11,14,11,12,10,11,10,10,11,10,11,10,10,11,10,11,9,11,8,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,8,7,9,7,11,7,12,7,14,7,15,6,16,6,17,5,17,4,18,4,18,4,17,5,17,6,17,7,17,9,17,10,17,12,19,13,20,14,22,14,24,14,25,14,26,13,27,13,28,13,27
-25,1272563480,28,-64,1,0,-19,37,-20,35,-21,33,-21,30,-20,28,-18,26,-16,24,-14,23,-12,22,-10,22,-8,23,-7,24,-7,25,-7,25,-8,25,-9,25,-10,24,-11,22,-11,20,-11,18,-11,16,-10,15,-10,13,-9,12,-9,11,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-10,12,-10,12,-11,12,-10,12,-10,12,-10,13,-10,14,-10,16,-11,17,-12,19,-13,21,-15,22,-17,23,-18,23,-20,23,-21,22,-21,21,-21,21,-20,21,-19,21,-17,22,-16,24,-15,26,-14,29,-14,32,-15,34
