rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,val_98
-23,1030284983,28,-64,1,0,-2,25,-1,26,-1,27,0,28,-1,28,-1,28,-2,28,-3,26,-4,25,-4,23,-4,21,-3,20,-2,18,-1,17,0,16,2,15,3,15,3,16,3,16,3,16,2,16,1,16,0,16,-1,15,-2,14,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,-5,12,-7,12,-8,12,-10,12,-11,12,-11,11,-11,11,-11,10,-10,10,-9,11,-8,12,-
-25,1142391679,28,-64,1,0,-29,-33,-27,-33,-24,-32,-21,-31,-19,-29,-18,-26,-17,-23,-17,-20,-18,-17,-19,-15,-21,-14,-22,-14,-23,-14,-24,-14,-24,-15,-22,-17,-21,-17,-19,-17,-16,-17,-14,-16,-13,-15,-11,-14,-10,-12,-10,-11,-9,-10,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-8,-14,-7,-14,-6,-14,-7,-14,-8,-14,-9,-13,-11,-14,-12,-15,-14,-17,-15,-19,-16,-22,-16,-24,-15,-26,-14,-28,-13,-29,-12,-29,-11,-28,-11,-27,-11,-26,-13,-25,-15,-23,-18,-23,-21,-23,-24,-24,-27,-25,-29,-27
-25,1142416929,28,-64,1,0,16,-18,14,-19,13,-21,12,-22,12,-23,13,-24,13,-24,14,-23,15,-22,14,-21,14,-19,13,-18,12,-16,11,-15,9,-15,8,-14,7,-14,6,-15,6,-15,6,-15,6,-15,7,-15,7,-14,8,-13,8,-12,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,7,-9,8,-9,10,-10,12,-10,13,-10,14,-9,16,-8,16,-7,17,-7,16,-6,16,-7,15,-7,14,-8,14,-10,14,-12,14,-13,16,-15,17,-17,19,-18,20,-19,22,-19,23,-18,24,-18,24,-17,23,-17,23,-16
-24,1142516174,28,-64,1,0,-17,-17,-18,-16,-19,-15,-20,-15,-21,-16,-21,-16,-21,-17,-20,-17,-19,-17,-17,-17,-16,-16,-15,-15,-14,-13,-14,-12,-13,-10,-13,-9,-14,-8,-14,-8,-14,-8,-14,-8,-14,-9,-13,-10,-12,-10,-11,-10,-10,-11,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-8,-8,-8,-9,-8,-11,-8,-12,-8,-14,-8,-15,-7,-16,-6,-16,-6,-16,-5,-16,-6,-15,-7,-15,-8,-15,-9,-15,-11,-15,-12,-16,-14,-17,-15,-19,-15,-20,-15,-22,-15,-23,-15,-24,-14,-24,-14,-24,-14,-23,-14,-22
-25,1142616399,28,-64,1,0,-12,30,-11,31,-10,32,-9,33,-10,34,-10,34,-11,33,-12,31,-13,30,-13,28,-12,26,-11,24,-9,22,-7,21,-6,20,-4,20,-3,20,-3,20,-3,21,-4,21,-5,21,-5,20,-7,19,-8,17,-8,15,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-7,13,-8,14,-10,15,-12,15,-14,15,-15,15,-16,14,-16,14,-16,13,-16,14,-15,14,-14,15,-14,17,-13,19,-13,21,-14,23,-15,25,-17,27,-18,29,-20,29,-21,30,-22,29,-23,29,-22,28,-21,28,-19,27
-24,1142625855,82,32,5,0,23,3,23,1,24,0,25,0,25,0,25,0,25,1,24,1,23,2,22,2,20,2,19,2,17,1,16,0,16,-1,15,-2,15,-3,15,-3,15,-3,16,-3,16,-2,15,-1,14,0,14,1,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,2,11,3,12,4,13,5,13,6,13,7,13,8,13,9,13,9,12,9,13,8,13,7,14,7,15,6,17,6,19,5,20,6,22,7,23,7,24,8,24,9,24,10,24,10,23,10,23,10,23,9
-24,1142641235,28,-64,1,0,-27,-6,-28,-4,-28,-3,-29,-3,-29,-3,-29,-4,-29,-4,-28,-5,-27,-5,-26,-6,-24,-6,-22,-5,-21,-4,-20,-3,-19,-2,-19,-1,-19,0,-19,0,-19,0,-19,0,-19,-1,-18,-2,-17,-4,-16,-5,-15,-5,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-13,-3,-14,-4,-15,-6,-15,-7,-16,-8,-16,-9,-16,-10,-16,-11,-15,-11,-15,-11,-15,-10,-16,-10,-17,-9,-18,-9,-20,-8,-22,-8,-24,-9,-25,-9,-27,-10,-27,-11,-28,-12,-28,-13,-27,-14,-27,-14,-27,-13,-27,-12
-24,1142724401,28,-64,1,0,-23,-24,-22,-24,-21,-24,-20,-23,-19,-22,-18,-21,-18,-20,-17,-19,-17,-18,-17,-17,-17,-16,-17,-16,-17,-16,-17,-16,-16,-16,-16,-16,-15,-16,-14,-15,-12,-15,-11,-15,-10,-14,-9,-14,-9,-13,-8,-12,-7,-12,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-11,-9,-11,-10,-10,-11,-10,-12,-10,-12,-10,-13,-10,-13,-11,-13,-12,-14,-12,-15,-13,-16,-14,-17,-14,-18,-14,-19,-14,-20,-15,-21,-15,-21,-15,-22,-15,-22,-15,-22,-16,-22,-16,-22,-17,-22,-18,-22,-20,-23,-21,-23
-24,1142823170,28,-64,1,0,25,24,26,23,27,22,27,23,27,23,26,23,25,23,24,23,23,22,21,21,20,20,19,18,18,17,18,15,18,14,18,13,18,13,18,12,17,12,17,13,16,13,15,13,14,13,12,13,11,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,10,11,12,11,13,11,15,11,16,10,16,10,17,10,18,10,18,10,18,11,18,12,18,14,19,15,19,17,20,18,22,19,23,20,24,20,26,20,28,20,29,20,29,20,29,20,29,21,28,22,27
-25,1142925486,28,-64,1,0,-30,11,-28,10,-26,10,-23,10,-21,11,-19,12,-18,14,-18,15,-19,16,-19,17,-20,16,-20,16,-21,15,-21,14,-21,12,-20,11,-19,9,-17,8,-15,7,-14,7,-13,7,-12,8,-12,8,-12,7,-13,7,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-10,4,-10,4,-11,5,-12,6,-13,7,-15,7,-16,8,-18,8,-20,7,-21,6,-22,5,-23,4,-22,3,-22,3,-21,3,-21,4,-20,5,-20,7,-20,9,-21,11,-22,13,-24,15,-26,16,-29,16,-31,16,-32,16
-25,1143029433,28,-64,1,0,-5,34,-6,32,-6,30,-5,28,-4,26,-3,25,-2,24,-1,23,0,23,1,23,2,23,2,23,2,24,1,24,0,23,-1,23,-2,22,-3,20,-3,18,-4,17,-3,16,-3,15,-3,14,-3,13,-3,12,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2,12,-2,12,-2,12,-2,13,-1,13,-1,14,-1,16,-1,17,-2,19,-3,20,-4,22,-6,22,-7,23,-7,23,-8,23,-8,22,-7,22,-7,22,-5,22,-4,23,-3,24,-2,26,-1,28,-1,30,-1,32,-2,34
